36.067868,-94.176374
36.067992,-94.176356
36.068038,-94.176209
36.068031,-94.17568
36.068951,-94.175695
36.070195,-94.175512
36.07053,-94.175537
36.074009,-94.175468
36.076733,-94.175339
36.087631,-94.175007
36.087606,-94.173378
36.087681,-94.173266
36.087808,-94.173197
36.088339,-94.172929
36.088365,-94.172571
36.088313,-94.170581
36.079093,-94.170832
36.074661,-94.170993
36.070253,-94.1711
36.070314,-94.173347
36.070362,-94.175425
36.07032,-94.175588
36.067718,-94.175664
36.067731,-94.176175
36.067762,-94.176352
36.067862,-94.176379
